hour, minute, second, azimuth angle (relative to west=0)/degree, elevation angle/degree, power/mW
12,51,8,36,90,268
12,51,11,54,0,360
12,51,16,54,15,362
12,51,19,54,30,365
12,51,22,54,45,361
12,51,25,54,60,352
12,51,28,54,75,335
12,51,31,54,90,273
12,51,34,72,0,368
12,51,39,72,15,370
12,51,42,72,30,370
12,51,45,72,45,365
12,51,48,72,60,357
12,51,51,72,75,338
12,51,54,72,90,277
12,51,57,90,0,369
12,52,2,90,15,374
12,52,5,90,30,374
12,52,8,90,45,366
12,52,11,90,60,358
12,52,14,90,75,338
12,52,17,90,90,277
12,52,20,108,0,367
12,52,25,108,15,369
12,52,28,108,30,372
12,52,31,108,45,366
12,52,34,108,60,356
12,52,37,108,75,332
12,52,40,108,90,268
12,52,43,126,0,355
12,52,48,126,15,358
12,52,51,126,30,360
12,52,54,126,45,356
12,52,57,126,60,348
12,53,0,126,75,321
12,53,3,126,90,257
12,53,6,144,0,325
12,53,11,144,15,336
12,53,14,144,30,341
12,53,17,144,45,338
12,53,20,144,60,325
12,53,23,144,75,297
12,53,26,144,90,247
12,53,29,162,0,231
12,53,34,162,15,253
12,53,37,162,30,274
12,53,40,162,45,282
12,53,43,162,60,277
